Sitename,Site_code,Country,Site_type,Latitude,Longitude,Labcode,Layer/SU/UNIT/LOCUS,Yrs BP,STD,Mat,dc13,pottery,SEQUENCE,REFERENCE_C14,STRATIGRAPHY,
Abu_Tartur_1004,ABTRT1004,EGYPT,OpenAir,25.18,29.57,KN3744,NA,7590,75,CH,,1,NA,Riemer & Jesse 2006,,
Adrar_Bous_10,ABUS10,NIGER,OpenAir,20.32,9.03,UW806,NA,9130,65,CH,,1,NA,Roset et al. 1990,,
Adrar_Bous_10,ABUS10,NIGER,OpenAir,20.32,9.03,Pa283,NA,9100,150,CH,,1,NA,Roset et al. 1990,,
Adrar_Bous_10,ABUS10,NIGER,OpenAir,20.32,9.03,UW-754,NA,9030,190,CH,,1,NA,Roset et al. 1990,,
Ain_E-Raml,ANRML,EGYPT,OpenAir,27.05,27.95,R1983,SQ_HV-21C,9650,190,CH,,0,NA,,,
Al_Khiday,ALKHD,SUDAN,OpenAir,15.41,32.29,Beta201726,10W4 SU12,6490,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta201728,16D5 SU6,7980,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta279538,16D5 SU 250,7960,40,SOIL,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta239622,16D5 SU 455a,7940,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta213892,16D5 SU48,7870,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta239621,16D5 SU455b,7830,40,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta257255,16D5 PEAT,7740,50,SOIL,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta213891,16D5 SU37,7710,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta239620,16D4 Pit29,7770,40,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta239619,16D4 Pit6A,7760,90,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta279537,16D4 Pit75,7640,110,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta257258,16D4 Pit52,7620,50,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta279536,16D4 Pit74,7600,90,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta279535,16D4 Pit73,7530,100,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2B,ALKHD2B,SUDAN,OpenAir,15.41,32.48,Beta257257,16D4B Pit F6,7540,50,CH,,1,NA,Salvatori 2012,,
Al_Mahalab,AMHB,SUDAN,OpenAir,15.6,32.64,T10946,LevelB,7705,145,MLC_FW,,1,1,Fernandez et al. 2003,mu[LevelB]>mu[LevelC]>mu[LevelE],
Al_Mahalab,AMHB,SUDAN,OpenAir,15.6,32.64,T10948,LevelC,7470,60,MLC_FW,,1,2,Fernandez et al. 2003,mu[LevelB]>mu[LevelC]>mu[LevelE],
Al_Mahalab,AMHB,SUDAN,OpenAir,15.6,32.64,T10949,LevelE,6940,85,MLC_FW,,1,3,Fernandez et al. 2003,mu[LevelB]>mu[LevelC]>mu[LevelE],
Amekni,AMK,ALGERIA,RS,22.88,5.23,Mc212,NA(C),8670,150,NA,,1,NA,,,
Amekni,AMK,ALGERIA,RS,22.88,5.23,UW87,NA(A),8050,80,NA,,1,NA,,,
Amekni,AMK,ALGERIA,RS,22.88,5.23,Gif1222,NA(B),6800,220,NA,,1,NA,,,
Aneibis_Area_1,ANB1,SUDAN,OpenAir,17.93,34,T7480,Level2(a),7760,100,MLC_FW,"-0,2",1,2,Haaland and Magid 1992,mu[Level1]>mu[Level2]&mu[Level2(a)],
Aneibis_Area_1,ANB1,SUDAN,OpenAir,17.93,34,T6382,Level1,7310,100,MLC_FW,"-8,9",1,1,Haaland and Magid 1992,mu[Level1]>mu[Level2]&mu[Level2(a)],
Aneibis_Area_1,ANB1,SUDAN,OpenAir,17.93,34,T6383,Level2,7290,100,MLC_FW,"-8,9",1,2,Haaland and Magid 1992,mu[Level1]>mu[Level2]&mu[Level2(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T8643,Level3(a),8230,100,MLC_FW,"-5,7",1,1,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T8644,Level3,7950,100,MLC_FW,"3,2",1,1,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T6384,Level1,7450,100,MLC_FW,"-7,5",1,2,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T7481,Level1(a),6820,100,MLC_FW,"-2,5",1,2,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_3,ANB3,SUDAN,OpenAir,17.93,34,T7482,Level5,7910,100,MLC_FW,"-2,5",1,NA,Haaland and Magid 1992,,
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8648,Level6,8090,60,MLC_FW,"-0,6",1,1,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8641,Level5(a),7890,100,MLC_FW,"-4,3",1,2,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8647,Level5(b),7830,100,MLC_FW,"-3,4",1,2,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8646,Level2,7790,90,MLC_FW,"-1,6",1,4,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T7483,Level5,7780,100,MLC_FW,"-2,7",1,2,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T6385,Level1,7730,100,MLC_FW,-10,1,5,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8645,Level3(a),7660,50,MLC_FW,"0,1",1,4,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8636,Level3(a),7570,60,MLC_FW,"-2,3",1,4,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8642,Level4,7470,100,MLC_FW,"-1,4",1,3,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
Aschech_I,ASCHCH,ALGERIA,OpenAir,31.13,4.58,Mc528,NA,6470,110,NA,,0,NA,Aumassip 1987,,
Ashech_III,ASCHCH_II,ALGERIA,OpenAir,21.12,4.57,Mc913,NA,7200,120,NA,,0,NA,Aumassip 1987,,
Awlad_el_Imam,AWIM,SUDAN,OpenAir,15.9,32.6,T6655,AWIM_NA,7750,90,MLC_FW,,1,NA,Caneva et al. 1993,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,Hv11440,NA,10385,550,NA,,0,NA,MALEY J. ROSET J.P. SERVANT M. (1971) – Nouveaux gisements préhistoriques au Niger oriental : localisation stratigraphique. Bull. Ass. Sénégal. Et. Quat. Ouest Africain 31 : 9-18,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,I5737,NA,9360,125,NA,,0,NA,,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,Gif1790,NA,8480,300,NA,,0,NA,,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,Gif1913,NA,8350,100,NA,,0,NA,,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,T467,NA,8100,150,NA,,0,NA,,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,T466,NA,8030,150,NA,,0,NA,,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,Gif1789,NA,7450,140,NA,,0,NA,,,
Bilma,BLM,NIGER,OpenAir,18.7,12.93,Gif6400,NA,6370,70,NA,,0,NA,,,
Bir_Kiseiba__E79-8,E798,EGYPT,OpenAir,22.65,30.02,SMU858,"TRENCH1/80_HRZC1,40CM",9820,380,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba__E79-8,E798,EGYPT,OpenAir,22.65,30.02,SMU928,"SQRA3/HERATH,30-40CM",9610,150,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba__E79-8,E798,EGYPT,OpenAir,22.65,30.02,SMU758,TRENCH 6/80,9440,230,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba__E79-8,E798,EGYPT,OpenAir,22.65,30.02,SMU927,TRENCH1/80_TOP,9350,120,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba__E79-8,E798,EGYPT,OpenAir,22.65,30.02,SMU914,TRENCH 1/80,9180,140,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba__E79-8,E798,EGYPT,OpenAir,22.65,30.02,SMU861,TRENCH1/80_30CM,9060,80,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba__E79-8,E798,EGYPT,OpenAir,22.65,30.02,SMU757,TRENCH6/80,8920,130,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba_E77-7,E777,EGYPT,OpenAir,22.83,30.75,SMU440,COLLECTEDAREA/SUBSURFACE,8960,110,CH,,1,NA,Connor 1984: 239-40,,
Bir_Kiseiba_E77-7,E777,EGYPT,OpenAir,22.83,30.75,ETH8583,CUT_90,8875,75,CH,,1,NA,Wendorf & Schild 2001,,
Bir_Kiseiba_E79-1,E791,EGYPT,OpenAir,22.68,29.92,SMU739,TRENCH1/BASE,8210,70,OES,,1,NA,Wendorf & Schild 2001,,
Bir_Kiseiba_E79-2,E792,EGYPT,OpenAir,22.68,29.92,SMU760,FEATURE2/A,8130,110,CH,,1,NA,Wendorf & Schild 2001,,
Bir_Kiseiba_E79-2,E792,EGYPT,OpenAir,22.68,29.92,SMU807,FEATURE3,7780,130,CH,,1,NA,,,
Bir_Kiseiba_E79-2,E792,EGYPT,OpenAir,22.68,29.92,SMU764,HEARTH/CUT/1/91,7610,70,CH,,1,NA,,,
Bir_Kiseiba_E79-3,E793,EGYPT,OpenAir,22.68,29.92,SMU744,STRATTRENCH,7950,130,OES,,1,NA,,,
Bir_Kiseiba_E79-4,E794,EGYPT,OpenAir,22.82,30.22,SMU862,NA,8560,140,NA,,1,NA,,,
Bir_Kiseiba_E79-4,E794,EGYPT,OpenAir,22.82,30.22,SMU750a,LCL/5-15CM(A),8250,140,NA,,1,NA,,,
Bir_Kiseiba_E79-4,E794,EGYPT,OpenAir,22.82,30.22,SMU750,LCL/5-15CM,8190,120,NA,,1,NA,,,
Bir_Kiseiba_E79-4,E794,EGYPT,OpenAir,22.82,30.22,SMU864,UCL/PIT25,7990,90,NA,,1,NA,,,
Bir_Kiseiba_E79-4,E794,EGYPT,OpenAir,22.82,30.22,SMU756,UCL/PIT25,7890,90,NA,,1,NA,,,
Bir_Kiseiba_E79-5,E795,EGYPT,OpenAir,22.68,29.92,SMU761,FIREAREA,8020,190,CH,,1,NA,,,
Bir_Kiseiba_E80-1,E801 ,EGYPT,OpenAir,22.65,30.07,SMU926,AREAC/PIT4,8020,90,CH,,1,NA,,,
Bir_Kiseiba_E80-1,E801 ,EGYPT,OpenAir,22.65,30.07,SMU915,AREAC/PIT3,8020,70,CH,,1,NA,,,
Bir_Kiseiba_E80-1,E801 ,EGYPT,OpenAir,22.65,30.07,SMU924,AREAC/SQRT3,7920,180,CH,,1,NA,,,
Bir_Kiseiba_E80-4,E804,EGYPT,OpenAir,22.65,30.07,SMU925,COLLECTIONAREA/SUBSURFACE,9220,120,CH,,1,NA,,,
Bir_Kiseiba_LocalityIV,BRKISLOCIV,EGYPT,OpenAir,22.83,30.03,SMU1015,A3/14,8620,70,NA,,1,NA,,,
Bir_Kiseiba_scarp,BRKISSCARP,EGYPT,OpenAir,22.83,30.03,SMU1014,SHELLCONCENTRATION,8080,90,OES,,1,NA,,,
Bir_Misaha_83/30,BMSH83/30,EGYPT,OpenAir,22.17,27.17,KN3786,NA,6460,70,CH,,1,NA,,,
Bir_Misaha_83/30,BMSH83/30,EGYPT,OpenAir,22.17,27.17,KN3412,NA,6300,80,CH,,1,NA,Kuper 1993,,
Bordj_Mellala,BORDJMLL,ALGERIA,OpenAir,32.33,4.4,Mc810,NA,7125,120,NA,,1,NA,,,
Bordj_Mellala,BORDJMLL,ALGERIA,OpenAir,32.33,4.4,Mc811,NA,6950,120,NA,,1,NA,,,
Bordj_Mellala,BORDJMLL,ALGERIA,OpenAir,32.33,4.4,Mc809,NA,6950,120,NA,,1,NA,,,
Bordj_Mellala_II,BORDJMLL_II,ALGERIA,OpenAir,32.08,5.18,UW389,NA,8070,100,NA,,1,NA,,,
Bordj_Mellala_II,BORDJMLL_II,ALGERIA,OpenAir,32.08,5.18,U141389,NA,8070,100,NA,,1,NA,,,
Bordj_Mellala_II,BORDJMLL_II,ALGERIA,OpenAir,32.08,5.18,Gif4635,NA,7840,110,NA,,1,NA,,,
Bou_Ali,BUAL,ALGERIA,OpenAir,27.17,-0.25,I1788,NA,6360,140,NA,,1,NA,,,
Burget_Tuyur,BRGTYR,SUDAN,OpenAir,21.25,28.42,KN3646,BURIAL,6840,160,HUM,,1,NA,,,
Burget_Tuyur,BRGTYR,SUDAN,OpenAir,21.25,28.42,KN3880,SURFACE,6780,65,HUM,,1,NA,,,
Busharia_I_Site44,Bu44,SUDAN,OpenAir,19.631,30.48,ETH30044,SURFACE,8815,70,MLC_U,,1,NA,,,
Busharia_I_Site44,Bu44,SUDAN,OpenAir,19.631,30.48,ETH31783,SURFACE,8560,65,MLC_U,,1,NA,,,
