"Sitename","Site_code","Latitude","Longitude","ToCheck"
"El_Hadjar","EHDJ ",31.53,4.78,FALSE
"El_Hadjar_(site_6701)","EHDJ6701",31.53,4.78,FALSE
"El_Hadjar_(site_6709)","EHDJ6709",32.03,5.25,FALSE
"El_Hadjar_demantele","EHDJDMTL",31.53,4.78,FALSE
"El_Hamraea","EHHA ",32.13,5.25,FALSE
"El_Haiz_Bahari","EHZBA ",27.83,28.5,FALSE
"Eki_Kowmei","EIKWM",22.83,16.67,FALSE
"El_Kab_1","EKKB1",25.17,32.83,FALSE
"El_Kab_2","EKKB2",25.13,32.78,FALSE
"El_Kab_3","EKKB3",25.13,32.78,FALSE
"EL_BAHR_Playa","ELBHRPLY",27.05,27.95,FALSE
"Esna","ENAESN",25.37,32.48,FALSE
"Enneri_Tihai","ENETHN",23.67,19.33,FALSE
"Enneri_Bardague","ENNBRDG",22.55,16.65,FALSE
"Enneri_Bardague_D","ENNBRDGD",22.86,16.66,FALSE
"Enneri_Bardague_FUN","ENNBRDGFUN",22.66,16.75,FALSE
"El Qalaa","EQAL",15.97,32.59,TRUE
"El_Qalaa","EQAL",15.97,32.59,TRUE
"Eastpans_95/1","ESTPNS95/1",24.76,29.2,FALSE
"Eastpans_96/6","ESTPNS96/6",24.76,29.2,FALSE
"Fachi","FCHFCC",18.12,11.62,FALSE
"Foum_el_Alba","FOUMAL",20.58,-3.83,FALSE
"Farafra","FRAFFR",27.22,25.92,FALSE
"Fayum","FYUM",29.5,30.5,FALSE
"Fayum_pit_59","FYUM59",29.5,30.5,FALSE
"Fayum_FS2","FYUMFS2",29.33,30.5,FALSE
"Fozzigiaren","FZG",24.83,10.42,FALSE
"Fezzan_sud","FZZFDZ",26.5,13.28,FALSE
"Gabrong","GBR",21.5,17.12,FALSE
"Great_Sand_Sea_Willmans_camp_81/61","GEASDEWC_81/62",25.23,25.87,FALSE
"Glass_Area","GLS",25.23,25.87,FALSE
"Glass_Area_81/61","GLS81/61",25.23,25.87,FALSE
"Gobero","GOBR",16.92,9.496,FALSE
"Gara_Siwa75/27","GRASW75/27",29.67,26.5,FALSE
"Hidden_Valley_SOUTH","HDDVS",27.05,27.96,FALSE
"Hidden_Valley_Village","HDDVV",27.05,27.96,FALSE
"Hassi_el_Abiod","HSSABD",19.12,-3.93,TRUE
"Hassi_el_Abiod_MK40","HSSABD",19.17,-3.92,TRUE
"Hassi_Mouillah","HSSMIS",32.13,5.12,FALSE
"Hatiet_Um_El_Hiyus_Siwa75/32","HTIH_SW75/32",29.42,25.83,FALSE
"In_Kousamene","I_KKE_AZ20",20.67,-0.6,FALSE
"Izimane_Tinrhert","IIMTII",28.73,6.9,FALSE
"In_Sakane_AZ22","ISKN_AZ22",20.6,-0.85,FALSE
"In_Sakane_AZ32","ISKN_AZ32",20.6,-0.85,FALSE
